dataset,column_name,business_name,description,bronze_type,silver_type,transformation_applied,nullable,is_technical_column,source,notes
municipalidades_2022,VFI_P17,VFI_P17,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P18,VFI_P18,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P19,VFI_P19,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P19A,VFI_P19A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P20,VFI_P20,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P21,VFI_P21,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P22,VFI_P22,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P23,VFI_P23,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P24,VFI_P24,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P25,VFI_P25,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P26,VFI_P26,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P26A,VFI_P26A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P27,VFI_P27,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P28,VFI_P28,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P29,VFI_P29,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P30,VFI_P30,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P31,VFI_P31,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P32,VFI_P32,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P33,VFI_P33,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P34,VFI_P34,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P35,VFI_P35,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P36,VFI_P36,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P37,VFI_P37,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P38,VFI_P38,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P39B,VFI_P39B,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P40,VFI_P40,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P41,VFI_P41,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P42,VFI_P42,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P43,VFI_P43,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P44,VFI_P44,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P46,VFI_P46,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P47,VFI_P47,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P48,VFI_P48,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P48B,VFI_P48B,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P49,VFI_P49,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P50,VFI_P50,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P51,VFI_P51,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P52,VFI_P52,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P53,VFI_P53,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P54,VFI_P54,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P55,VFI_P55,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P56,VFI_P56,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P57,VFI_P57,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P58,VFI_P58,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P59,VFI_P59,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P60A,VFI_P60A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P60B,VFI_P60B,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P61,VFI_P61,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P62,VFI_P62,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P63,VFI_P63,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P64,VFI_P64,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P66,VFI_P66,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P67,VFI_P67,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P68,VFI_P68,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P69,VFI_P69,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P70,VFI_P70,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P71,VFI_P71,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P72A,VFI_P72A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P72B,VFI_P72B,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P73,VFI_P73,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P74,VFI_P74,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P75,VFI_P75,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P76,VFI_P76,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P77,VFI_P77,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P78,VFI_P78,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P79,VFI_P79,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P80,VFI_P80,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P84A,VFI_P84A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P85,VFI_P85,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P86,VFI_P86,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P87,VFI_P87,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P87A,VFI_P87A,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P88,VFI_P88,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P89,VFI_P89,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P90,VFI_P90,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P94,VFI_P94,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P95,VFI_P95,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P96,VFI_P96,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P97,VFI_P97,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P98,VFI_P98,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,VFI_P99,VFI_P99,VFI constante (100% = '1'); sin variación.,object,dropped,drop_column,,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,VFI constante (100% = '1'); sin variación.
municipalidades_2022,Año,Año,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,idmunici,idmunici,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,ccdd,ccdd,preserve_as_string: Código de departamento; se conserva como texto por convención INEI (formato '01'-'25').,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,preserve_as_string: Código de departamento; se conserva como texto por convención INEI (formato '01'-'25').
municipalidades_2022,ccpp,ccpp,preserve_as_string: Código de provincia; se conserva como texto por convención INEI.,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,preserve_as_string: Código de provincia; se conserva como texto por convención INEI.
municipalidades_2022,ccdi,ccdi,preserve_as_string: Código de distrito; se conserva como texto por convención INEI.,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,preserve_as_string: Código de distrito; se conserva como texto por convención INEI.
municipalidades_2022,Ubigeo,Ubigeo,preserve_as_string: CRÍTICO: min numérico=10101 implica pérdida del cero inicial ('010101'→10101). Debe ser string.,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,preserve_as_string: CRÍTICO: min numérico=10101 implica pérdida del cero inicial ('010101'→10101). Debe ser string.
municipalidades_2022,Departamento,Departamento,,object,string,cast_to_string_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,Provincia,Provincia,,object,string,cast_to_string_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,Distrito,Distrito,,object,string,cast_to_string_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,Tipomuni,Tipomuni,"preserve_as_string: Código categórico (1=Provincial, 2=Distrital, 3=Centro Poblado); texto para integración con diccionario.",object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,"preserve_as_string: Código categórico (1=Provincial, 2=Distrital, 3=Centro Poblado); texto para integración con diccionario."
municipalidades_2022,P04_1,P04_1,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P04_2,P04_2,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P04_3,P04_3,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P04_4,P04_4,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P04_5,P04_5,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P04_6,P04_6,,object,Float64,cast_to_decimal_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P05_CC,P05_CC,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P05_1,P05_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P05_2,P05_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P05_3,P05_3,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P06_CC,P06_CC,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P06,P06,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P07,P07,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P08,P08,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P09,P09,,object,object,kept_without_explicit_rule,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P10_1,P10_1,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P10_2,P10_2,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P10_3,P10_3,,object,object,kept_without_explicit_rule,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P10_4,P10_4,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_1,P11A_1,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_1_1,P11A_1_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_1_2,P11A_1_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_2,P11A_2,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_2_1,P11A_2_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_2_2,P11A_2_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_3,P11A_3,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_3_1,P11A_3_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_3_2,P11A_3_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_4,P11A_4,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_4_1,P11A_4_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_4_2,P11A_4_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_5,P11A_5,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_5_1,P11A_5_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_5_2,P11A_5_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_6,P11A_6,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_6_1,P11A_6_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_6_2,P11A_6_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_7,P11A_7,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_7_1,P11A_7_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_7_2,P11A_7_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_8,P11A_8,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_8_1,P11A_8_1,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_8_2,P11A_8_2,,object,Int64,cast_to_integer_nullable,True,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
municipalidades_2022,P11A_9,P11A_9,,object,Int64,cast_to_integer_nullable,False,False,Bronze SISMEPRE + silver_rules_sismepre.yaml,
